step_no,rule_id,derived_fact,antecedents_json,derivation_kind,contradiction,notes
51,v18-image-01,semistable_transvection_profile_ready,"[""rho_p_irreducible"", ""frey_curve_semistable""]",internal-local-image-profile,0,Semistable local inertia supplies the required elementary-unipotent profile.
52,v18-image-02,sl2_elementary_generation_available,"[""semistable_transvection_profile_ready""]",internal-transvection-generation,0,Upper and lower transvections generate SL2.
53,v18-image-03,semistable_large_prime_gl2_image,"[""sl2_elementary_generation_available""]",derived-large-image,0,Cyclotomic determinant upgrades SL2 to GL2.
54,v18-weight-02,weight2_residual_hecke_packet_extracted,"[""weight1_automorphic_representation_exists"", ""mod3_weight_one_eisenstein_congruence_available""]",internal-qexp-and-eigenpacket-compiler,0,Multiplication and packet projection preserve the residual Hecke system.
55,v18-weight-03,irreducible_mod3_branch_implication_certified,"[""weight2_residual_hecke_packet_extracted""]",derived-weight-change,0,The irreducible mod-3 branch is modular of weight two.
56,v19-cheb-01,finite_quotient_class_table_and_classifier_ready,"[""finite_residual_quotient_available""]",internal-finite-chebotarev-compiler,0,Complete class table and Frobenius factorization classifier.
57,v21-cheb-kernel,prime_distribution_foundation_kernel_available,"[""finite_quotient_class_table_and_classifier_ready""]",imported-foundation-kernel,0,Analytic prime distribution kernel.
58,v21-cheb-parent,analytic_chebotarev_density_available,"[""finite_quotient_class_table_and_classifier_ready"", ""prime_distribution_foundation_kernel_available""]",derived-from-prime-distribution-kernel,0,Parent theorem derived from finite compiler plus kernel.
59,v12-case-10,reducible_mod3_branch_implication_certified,"[""auxiliary_curve_selected"", ""irreducible_mod3_branch_implication_certified""]",derived-transfer,0,Certifies reducible(E[3]) ⇒ residual modularity.
60,v12-case-11,semistable_residual_modularity_all_cases,"[""mod3_case_partition_certified"", ""irreducible_mod3_branch_implication_certified"", ""reducible_mod3_branch_implication_certified""]",proof-by-cases,0,No realized branch facts are asserted.
61,v14-local-02,ordinary_steinberg_local_models_compiled,"[""semistable_residual_modularity_all_cases""]",internal-local-model-compiler,0,"Good, ordinary, finite-flat schema, and Steinberg models."
62,v17-bad-01,bad_prime_monodromy_local_model_ready,"[""semistable_residual_modularity_all_cases""]",internal-monodromy-compiler,0,Monodromy and local U model.
63,v17-coh-01,betti_finite_towers_and_hecke_squares_ready,"[""semistable_residual_modularity_all_cases""]",internal-cohomology-finite-compiler,0,Finite towers and Hecke squares.
64,v19-cheb-03,finite_quotient_chebotarev_class_coverage,"[""finite_quotient_class_table_and_classifier_ready"", ""analytic_chebotarev_density_available""]",derived-chebotarev-class-coverage,0,Every finite class has unramified Frobenius representatives.
65,v21-def-kernel,global_deformation_duality_foundation_kernel_available,"[""semistable_residual_modularity_all_cases""]",imported-foundation-kernel,0,Shared deformation/duality kernel.
66,v21-def-parent,deformation_problem_represented,"[""semistable_residual_modularity_all_cases"", ""global_deformation_duality_foundation_kernel_available""]",derived-from-deformation-duality-kernel,0,Representability parent derived.
67,v21-comparison-kernel,modular_curve_comparison_foundation_kernel_available,"[""semistable_residual_modularity_all_cases""]",imported-foundation-kernel,0,Shared good/bad comparison kernel.
68,v21-good-comparison-parent,modular_curve_geometric_comparison_available,"[""betti_finite_towers_and_hecke_squares_ready"", ""modular_curve_comparison_foundation_kernel_available""]",derived-from-modular-curve-comparison-kernel,0,Good-prime comparison parent derived.
69,v21-bad-comparison-parent,semistable_nearby_cycles_comparison_available,"[""bad_prime_monodromy_local_model_ready"", ""modular_curve_comparison_foundation_kernel_available""]",derived-from-modular-curve-comparison-kernel,0,Nearby-cycles parent derived.
70,v10-20,local_deformation_conditions_defined,"[""deformation_problem_represented""]",local-deformation-schema,0,Local condition contracts.
71,v10-21,global_tangent_obstruction_profile,"[""local_deformation_conditions_defined""]",cohomological-interface,0,Selmer interface.
72,v17-bad-03,bad_prime_cohomology_comparison_available,"[""bad_prime_monodromy_local_model_ready"", ""semistable_nearby_cycles_comparison_available""]",derived-bad-prime-comparison,0,Bad-prime parent assembled.
73,v17-coh-03,integral_modular_curve_cohomology_package_available,"[""betti_finite_towers_and_hecke_squares_ready"", ""modular_curve_geometric_comparison_available""]",derived-integral-cohomology-package,0,Cohomology parent assembled.
74,v21-duality-parent,poitou_tate_balance_available,"[""global_tangent_obstruction_profile"", ""global_deformation_duality_foundation_kernel_available""]",derived-from-deformation-duality-kernel,0,Poitou-Tate parent derived.
75,v14-local-03,hecke_local_global_compatibility_available,"[""bad_prime_cohomology_comparison_available"", ""ordinary_steinberg_local_models_compiled""]",derived-local-global-compatibility,0,The old compatibility parent is derived.
76,v16-mult-03,multiplicity_qexp_eigenline_one,"[""integral_modular_curve_cohomology_package_available""]",internal-qexp-duality-compiler,0,Perfect q-expansion duality gives a one-dimensional m-torsion line.
77,v17-cbn-04,multiplicity_constituent_control_available,"[""finite_quotient_chebotarev_class_coverage"", ""brauer_nesbitt_character_compiler_ready"", ""integral_modular_curve_cohomology_package_available""]",derived-constituent-control,0,Constituent parent assembled.
78,v17-res-01,residual_prime_multiplicity_dimension_compiler_ready,"[""rho_finite_at_residual_p_if_bad"", ""bad_prime_cohomology_comparison_available"", ""multiplicity_qexp_eigenline_one""]",internal-residual-dimension-compiler,0,Connected/étale dimension and component obstruction.
79,v17-res-02,multiplicity_residual_case_implication_certified,"[""residual_prime_multiplicity_dimension_compiler_ready""]",derived-residual-prime-multiplicity,0,Residual-prime parent assembled.
80,v20-tw-01,tw_finite_quotient_selection_contract_ready,"[""poitou_tate_balance_available"", ""analytic_chebotarev_density_available"", ""rho_p_irreducible""]",internal-dual-selmer-selection-compiler,0,Independent evaluation vectors and desired finite quotient classes are constructed.
81,v20-tw-02,taylor_wiles_auxiliary_primes_exist,"[""tw_finite_quotient_selection_contract_ready""]",derived-using-existing-chebotarev,0,Analytic Chebotarev supplies primes in the selected classes.
82,v10-24,patched_inverse_system_witnessed,"[""taylor_wiles_auxiliary_primes_exist""]",finite-algebra,0,Cached finite patching system.
83,v12-tw-01,tw_auxiliary_cover_free_group_geometry,"[""taylor_wiles_auxiliary_primes_exist""]",internal-theorem2-geometry,0,"Free cover, Shapiro, and involution contract."
84,v12-tw-02,tw_anti_invariant_cohomology_free,"[""tw_auxiliary_cover_free_group_geometry""]",internal-theorem2-compiler,0,H1-minus is free over O[Delta].
85,v16-mult-04,multiplicity_good_case_implication_certified,"[""multiplicity_constituent_control_available"", ""multiplicity_qexp_eigenline_one"", ""integral_modular_curve_cohomology_package_available""]",internal-good-reduction-dimension-compiler,0,D(V)^0 has dimension one and D(V) has twice that dimension.
86,v16-mult-06,universal_non_eisenstein_multiplicity_two_available,"[""multiplicity_theorem_case_partition_certified"", ""multiplicity_good_case_implication_certified"", ""multiplicity_residual_case_implication_certified""]",proof-by-cases,0,The parent theorem is derived without asserting either branch as realized.
87,v15-etale-03,localized_etale_hecke_module_free_rank_two,"[""integral_modular_curve_cohomology_package_available"", ""universal_non_eisenstein_multiplicity_two_available""]",internal-nakayama-rank-two-compiler,0,Rational rank plus residue dimension gives freeness.
88,v15-etale-04,localized_etale_hecke_module_exists,"[""localized_etale_hecke_module_free_rank_two""]",derived-localized-etale-parent,0,Old parent fact derived.
89,v15-sign-02,tw_auxiliary_localized_etale_module_free_rank_two,"[""taylor_wiles_auxiliary_primes_exist"", ""integral_modular_curve_cohomology_package_available"", ""universal_non_eisenstein_multiplicity_two_available""]",internal-nakayama-rank-two-compiler,0,Same rank-two compiler at auxiliary level.
90,v15-sign-03,tw_auxiliary_cohomology_rank_one,"[""tw_auxiliary_localized_etale_module_free_rank_two"", ""rho_p_odd""]",internal-sign-projector-rank-one-compiler,0,Complementary projectors and one-dimensional residue signs.
91,v12-tw-04,tw_auxiliary_level_stage_freeness,"[""tw_anti_invariant_cohomology_free"", ""tw_auxiliary_cohomology_rank_one""]",derived-rank-transfer,0,T_Q is free over O[Delta_Q].
92,v14-module-02,hecke_module_pseudocharacter_compiled,"[""localized_etale_hecke_module_exists""]",internal-module-pseudocharacter-compiler,0,Trace/determinant and compatible finite quotients.
93,v14-module-03,hecke_modular_pseudocharacter_system_exists,"[""hecke_module_pseudocharacter_compiled""]",derived-modular-pseudocharacter,0,The old parent is derived.
94,v13-hecke-03,hecke_cayley_hamilton_stages_split,"[""hecke_modular_pseudocharacter_system_exists"", ""hecke_residual_pseudocharacter_absolutely_irreducible""]",internal-pseudocharacter-compiler,0,"Unit trace bases, Cayley–Hamilton quotients, and matrix units."
95,v13-hecke-04,hecke_global_representation_inverse_limit_constructed,"[""hecke_cayley_hamilton_stages_split""]",internal-adic-representation-compiler,0,Compatible finite-stage representations form the completed representation.
96,v13-hecke-06,hecke_galois_representations_exist,"[""hecke_global_representation_inverse_limit_constructed"", ""hecke_local_global_compatibility_available""]",derived-hecke-galois-assembly,0,The omnibus parent is assembled from two child theorem inputs and an internal compiler.
97,v12-rt-01,universal_deformation_map_constructed,"[""deformation_problem_represented"", ""hecke_galois_representations_exist""]",universal-property-compiler,0,Unique map R→T.
98,v12-rt-02,hecke_trace_generator_coverage,"[""hecke_galois_representations_exist""]",generator-coverage,0,"Traces, determinants, and local U operators generate T."
99,v12-rt-03,universal_R_to_T_surjection,"[""universal_deformation_map_constructed"", ""hecke_trace_generator_coverage""]",derived-surjection,0,Surjectivity from topological generator coverage.
100,v12-tw-05,tw_arithmetic_n_structure_contract_satisfied,"[""deformation_problem_represented"", ""local_deformation_conditions_defined"", ""taylor_wiles_auxiliary_primes_exist"", ""tw_auxiliary_level_stage_freeness"", ""hecke_galois_representations_exist""]",n-structure-input-contract,0,All typed inputs present.
101,v12-tw-06,tw_arithmetic_n_structures_compatible,"[""tw_arithmetic_n_structure_contract_satisfied""]",internal-n-structure-assembler,0,"Emit compatible R_Q,T_Q,H_Q diagrams."
102,v11-patch-03,tw_patching_contract_satisfied,"[""tw_arithmetic_n_structures_compatible""]",contract-validation,0,Every Proposition 3 hypothesis is represented.
103,v11-patch-04,tw_diagonal_inverse_limit_constructed,"[""tw_patching_contract_satisfied""]",internal-patching-compiler,0,"Finite bounds, diagonal selection, and inverse limit."
104,v11-patch-05,patched_arithmetic_module_free,"[""tw_diagonal_inverse_limit_constructed""]",derived-from-internal-patching-compiler,0,The algebraic patching theorem is no longer imported.
105,v20-rt-01,patched_module_faithful_over_R,"[""patched_arithmetic_module_free"", ""universal_R_to_T_surjection""]",internal-faithful-free-module-lemma,0,A positive-rank free R-module has zero annihilator.
106,v20-rt-02,R_equals_T,"[""patched_module_faithful_over_R"", ""universal_R_to_T_surjection""]",derived-faithful-module-isomorphism,0,"The kernel annihilates a faithful module, so it is zero."
107,v10-29,semistable_modularity_lift,"[""R_equals_T""]",derived-from-rt-child-dag,0,No omnibus R=T import remains.
108,v10-30,frey_curve_modular,"[""semistable_modularity_lift""]",derived,0,Lift residual modularity.
109,v10-31,rho_p_modular,"[""frey_curve_modular""]",structural,0,Residual representation modular.
110,v21-lowering-contract,universal_level_lowering_contract_ready,"[""rho_p_modular"", ""rho_p_irreducible"", ""rho_finite_all_odd_nonfinite_2""]",internal-universal-contract,0,All finite certificate-generator interfaces are present.
111,v21-lowering-kernel,universal_level_lowering_foundation_kernel_available,"[""universal_level_lowering_contract_ready""]",imported-foundation-kernel,0,Universal level-lowering kernel.
112,v21-lowering-parent,level_2_weight_2_newform_exists,"[""universal_level_lowering_contract_ready"", ""universal_level_lowering_foundation_kernel_available""]",derived-from-universal-level-lowering-kernel,0,Level-two newform conclusion derived.
113,v10-38,contradiction,"[""level_2_weight_2_newform_exists"", ""no_level_2_weight_2_newform""]",logic,1,Contradiction.
