check_id,description,tier,pass_count,fail_count,universe_count,status,evidence,protects_loop
inv-v5-lowering-certificates,Certificates either reject invalid Eisenstein inputs or return a conditional lower-level form.,conditional-certificate,3,0,3,PASS,Mod-5 false positive rejected; mod-7/mod-13 calibration routes certified conditionally.,loop-101
inv-v12-branch-certificates,Every branch certificate is conditional rather than an ordinary branch fact.,conditional-derivation,2,0,2,PASS,Live rows from conditional_branch_certificates_v12.,loop-183
inv-v16-branches,"Both multiplicity branch certificates are conditional implications, not realized branch facts.",conditional-derivation,2,0,2,PASS,Live rows from multiplicity_branch_certificates_v16.,loop-298
inv-v17-finite-flat,Every Tate run matches valuation divisibility.,conditional-inference,45,0,45,PASS,Live rows from finite_flat_compiler_runs_v17.,loop-326
inv-v4-one-step,One-step lowering succeeds only when all four witness classes are present.,conditional-inference,3,0,3,PASS,Positive and blocked counterfactual runs.,loop-90
inv-eta-criterion-arithmetic,The eta quotient passes the level/weight/congruence/cusp-order arithmetic.,conditional-on-eta-quotient-theorem,1,0,1,PASS,The criterion arithmetic is internalized; the theorem is sourced.,loop-34
inv-level-lowering-terminal-two,Every formal level-lowering cascade terminates at level 2.,conditional-on-ribet,4,0,4,PASS,Prime-removal mechanics are executed; Ribet's theorem is imported.,loop-38
inv-sturm-bound-level11,The weight-2 level-11 Sturm bound is 2.,conditional-on-sturm,1,0,1,PASS,Computed from floor(k*[SL2:Gamma0(N)]/12).,loop-37
inv-v19-automorphic-machines,Every automorphic state machine terminates in a conditional weight-one form.,conditional-state-machine,3,0,3,PASS,Live rows from automorphic_induction_state_machines_v19.,loop-439
v3-minlevel,All level paths terminate at 2,conditional-state-machine,4,0,4,PASS,State machine.,loop-73
inv-formal-odd-finite,Every formal odd bad prime has p-divisible minimal-discriminant valuation and is finite.,conditional-with-imported-local-criterion,16,0,16,PASS,Valuations are derived; finiteness uses the Tate-curve criterion.,loop-27
inv-formal-two-nonfinite,Prime 2 has v2(Delta_min)≡-8 mod p and remains nonfinite.,conditional-with-imported-local-criterion,4,0,4,PASS,The nonfinite anchor required for repeated level lowering.,loop-27
inv-v21-schlessinger,Every Schlessinger compiler case passes.,deformation-contract,2,0,2,PASS,Live rows from schlessinger_compiler_cases_v21.,loop-530
inv-v12-anti-cohomology,Every anti-invariant cohomology certificate is free.,derived-algebra,2,0,2,PASS,Live rows from anti_invariant_cohomology_certificates_v12.,loop-191
inv-v15-rank2,Rank-two parent certificates pass without parent import.,derived-algebra,2,0,2,PASS,Rows from rank_two_etale_module_certificates_v15.,loop-271
inv-away-from-p-unramified,"Away from p, Tate p-torsion is unramified exactly when p divides v_l(q).",derived-local-theorem,12,0,12,PASS,Direct Kummer ramification calculation.,loop-45
inv-v21-duality,Every global-duality compiler case passes.,duality-contract,2,0,2,PASS,Live rows from global_duality_compiler_cases_v21.,loop-538
inv-first-second-route,Every first/second-case route has an explicit local status at p.,epistemic-routing,6,0,6,PASS,Only the second case crosses the finite-flat import.,loop-46
inv-rational-5-torsion-control,The conductor-11 control point has exact order 5.,exact-group-law,5,0,5,PASS,Multiples are computed with the general Weierstrass group law.,loop-48
inv-tate-torsion-kummer,"Parameter-root ramification index is p/gcd(p,v(q)).",exact-local-arithmetic,29,0,29,PASS,All generated torsion-coordinate profiles.,loop-43
inv-x5-genus-zero,The full-level modular curve X(5) has genus zero.,exact-modular-curve-arithmetic,1,0,1,PASS,Index/cusp genus formula.,loop-55
inv-tate-series-leading,Generated Delta and j coefficients match canonical leading terms.,exact-series,41,0,41,PASS,"Product/Eisenstein-series generation, not seeded coefficient lists.",loop-42
inv-v7-rational-reduction,Every continued-fraction symbol reduction has the expected cusp boundary.,exact-symbolic-reduction,4,0,4,PASS,Live rows from rational_symbol_reduction_checks_v7.,loop-116
inv-v8-hecke-operators,"Every computed Hecke operator kills Manin relations, preserves compact homology, and commutes with the packet generators.",exact-symbolic-reduction,11,0,11,PASS,Live rows from hecke_operator_certificates_v8.,loop-123
inv-v20-g12-generators,Every explicit G12 generator is an integral reflection with the correct reduction.,explicit-characteristic-zero-lift,3,0,3,PASS,Live rows from g12_lift_generators_v20.,loop-454
inv-deformation-ring-toys,All declared tangent/length/CI toy calculations are internally consistent.,finite-algebra,4,0,4,PASS,Finite local algebras and one positive-dimensional control.,loop-58
inv-rt-map-diagnostics,Toy R-to-T diagnostics classify isomorphism exactly by the declared finite criteria.,finite-algebra,4,0,4,PASS,The strict quotient with matching tangent dimension is caught by length.,loop-59
inv-v10-patching-systems,Every cached finite patching transition passes.,finite-algebra,4,0,4,PASS,Existing patching-transition certificates.,loop-158
inv-v11-stages,All explicit stages satisfy the reduced contract.,finite-algebra,7,0,7,PASS,Live rows from tw_stage_algebras_v11.,loop-164
inv-v11-truncations,All finite transitions are compatible and surjective.,finite-algebra,5,0,5,PASS,Live rows from tw_truncation_certificates_v11.,loop-168
inv-v12-diamond,Every diamond/augmentation certificate passes.,finite-algebra,7,0,7,PASS,Live rows from diamond_augmentation_certificates_v12.,loop-196
inv-v12-n-compatibility,Every adjacent n-structure compatibility square commutes.,finite-algebra,5,0,5,PASS,Live rows from n_structure_compatibility_v12.,loop-200
inv-v13-ch-algebras,Every Cayley–Hamilton quotient multiplication is associative.,finite-algebra,8,0,8,PASS,Live rows from cayley_hamilton_algebras_v13.,loop-217
inv-v13-matrix-units,Every stage satisfies all matrix-unit relations.,finite-algebra,8,0,8,PASS,Live rows from matrix_unit_certificates_v13.,loop-218
inv-v8-stabilization,The U5 stabilization polynomial and direct-sum decomposition pass.,finite-algebra,1,0,1,PASS,Live rows from stabilization_polynomial_certificates_v8.,loop-127
v3-patch,patch,finite-algebra,12,0,12,PASS,patching_transition_checks,loop-79
v3-rt,R=T controls,finite-algebra,1,0,1,PASS,Adversarial controls.,loop-80
inv-v19-artin-types,Every projective Artin type is solvable and correctly routed.,finite-artin-router,3,0,3,PASS,Live rows from artin_projective_type_profiles_v19.,loop-434
inv-v18-brauer-cases,Every Brauer lifting calibration is accepted or rejected correctly.,finite-character-theory,3,0,3,PASS,Live rows from brauer_lift_calibration_cases_v18.,loop-355
inv-v8-sturm,Every coefficient through the level-55 Sturm bound matches the selected stabilized eigenpacket.,finite-coefficient-certificate,12,0,12,PASS,Live rows from sturm_eigenpacket_checks_v8.,loop-129
inv-v9-reduction,Every target packet reduction check agrees with the explicit integral eigenform.,finite-coefficient-certificate,7,0,7,PASS,Live rows from target_packet_reduction_checks_v9.,loop-139
inv-v12-local-group-rings,Every local group-ring certificate passes its unit and nilpotence checks.,finite-commutative-algebra,3,0,3,PASS,Live rows from group_ring_locality_certificates_v12.,loop-186
inv-v16-qexp-models,Every q-expansion duality model has a one-dimensional maximal-ideal torsion line.,finite-commutative-algebra,8,0,8,PASS,Live rows from qexp_duality_models_v16.,loop-287
inv-v4-flat-controls,All chain-ring flatness controls are classified consistently.,finite-commutative-algebra,45,0,45,PASS,Live rows from chain_ring_flatness_controls.,loop-84
inv-v15-comparison,Finite comparison calibrations pass.,finite-comparison,2,0,2,PASS,Rows from betti_etale_comparison_certificates_v15.,loop-270
inv-curve-form-trace-match,The conductor-11 curve trace equals the eta coefficient at every tested good prime.,finite-computation,45,0,45,PASS,Independent point counting and product expansion for q<200.,loop-35
inv-frobenius-hasse,Every computed Frobenius trace satisfies the Hasse bound.,finite-computation,110,0,110,PASS,Direct point counts over finite fields.,loop-30
inv-frobenius-irred-normalized,Every tested normalized curve/primes pair has a nonsquare-Frobenius certificate.,finite-computation,60,0,60,PASS,Concrete curves only; the general Frey theorem remains sourced.,loop-48
inv-frobenius-reducible-control,The rational-5-torsion control produces no false mod-5 irreducibility certificate.,finite-computation,1,0,1,PASS,Positive reducibility control.,loop-48
inv-hecke-relations-level11,The generated eta coefficients obey all tested Hecke recurrences.,finite-computation,224,0,224,PASS,"Prime-square, coprime multiplicativity, and bad-prime powers.",loop-31
inv-residual-congruence,"Curve and form traces agree modulo p=5,7,13 at every tested Frobenius prime.",finite-computation,132,0,132,PASS,Concrete residual-representation coefficient witness.,loop-36
inv-small-level-phase-boundary,The first positive dim S2(Gamma0(N)) for N>=1 is N=11.,finite-computation,1,0,1,PASS,Genus formula evaluated for levels 1 through 100.,loop-39
inv-taylor-wiles-primes,Every generated auxiliary prime satisfies q=1 mod p^n and distinct residual eigenvalues.,finite-computation,32,0,32,PASS,Actual prime search and elliptic-curve point counts.,loop-60
inv-v5-maximal-ideal-gate,Maximal-ideal profiles classify the mod-5 control as Eisenstein and mod-7/mod-13 as non-Eisenstein.,finite-computation,3,0,3,PASS,Live rows from maximal_ideal_profiles.,loop-99
v3-hecke,hecke,finite-computation,81,0,81,PASS,hecke_level_conditions,loop-70
inv-v15-es,Finite Eichler–Shimura relations pass.,finite-correspondence,32,0,32,PASS,Rows from eichler_shimura_stage_certificates_v15.,loop-275
inv-v19-cheb-counts,Every prime-count stage sees all classes and matches the expected finite evidence threshold.,finite-density-evidence,4,0,4,PASS,Live rows from prime_count_density_stages_v19.,loop-409
inv-v7-cusp-eisenstein,Every boundary double-coset check has r+1 representatives and Eisenstein eigenvalue r+1.,finite-double-coset,8,0,8,PASS,Live rows from cusp_eisenstein_checks_v7.,loop-119
inv-normalization-mod32,Every qualifying primitive residue class normalizes to b even and a≡-1 mod4.,finite-exhaustion,3072,0,3072,PASS,"Exhaustive modulo-32 enumeration for p=5,7,11,13.",loop-22
inv-v11-ring-laws,All ring-law certificates pass.,finite-exhaustion,7,0,7,PASS,Live rows from tw_stage_ring_checks_v11.,loop-165
inv-v4-cocycles,All cyclic cocycle tables satisfy the 2-cocycle identity.,finite-exhaustion,23,0,23,PASS,Live rows from cyclic_extension_cocycles.,loop-82
v3-hopf,hopf,finite-exhaustion,990,0,990,PASS,hopf_structure_checks,loop-68
inv-v6-base-supersingular,The characteristic-5 curve y^2=x^3+1 has trace zero and is the unique supersingular isomorphism class.,finite-field-exhaustion,1,0,1,PASS,Direct point count #6; trace=0; supersingular class-count formula gives 1.,loop-102
inv-v17-s3,Every cubic factorization has a valid S3 class.,finite-field-factorization,9,0,9,PASS,Live rows from s3_splitting_prime_certificates_v17.,loop-303
inv-v20-kummer-schemes,Every explicit Kummer middle group scheme is finite flat of rank p^2.,finite-flat-group-scheme,9,0,9,PASS,Live rows from kummer_group_scheme_certificates_v20.,loop-475
inv-v19-cheb-classes,Every finite Galois class profile is complete and represented.,finite-galois-classes,3,0,3,PASS,Live rows from finite_galois_class_profiles_v19.,loop-404
inv-v4-exactness,Every finite extension model has the expected kernel and quotient sizes.,finite-group,23,0,23,PASS,Live rows from extension_exactness_checks.,loop-83
inv-v12-free-cocycles,Every free-group cocycle certificate satisfies the cocycle identity.,finite-group-cohomology,2,0,2,PASS,Live rows from free_group_cocycle_certificates_v12.,loop-187
inv-v12-shapiro,Every degree-one Shapiro certificate has matching dimensions.,finite-group-cohomology,3,0,3,PASS,Live rows from shapiro_degree1_certificates_v12.,loop-190
inv-pgl2-f3-solvable,"PGL2(F3) has order 24 and derived series 24,12,4,1.",finite-group-computation,4,0,4,PASS,"Computed from the projective action, not stored as an assumption.",loop-51
inv-v10-gl2-count,GL2(F3) has 48 elements and PGL2(F3) has 24 projective classes.,finite-group-exhaustion,1,0,1,PASS,Complete matrix enumeration.,loop-144
inv-v13-groups,Every finite group model has a valid multiplication table.,finite-group-exhaustion,1,0,1,PASS,Live rows from finite_group_models_v13.,loop-214
inv-v18-transvections,Every elementary-transvection pair generates the full SL2 group.,finite-group-exhaustion,9,0,9,PASS,Live rows from transvection_generation_certificates_v18.,loop-373
inv-v20-g12-group,The characteristic-zero matrices generate a group of order 48.,finite-group-exhaustion,1,0,1,PASS,Live rows from g12_lift_group_certificates_v20.,loop-456
inv-v10-subgroup-solvability,Every subgroup of PGL2(F3) is solvable.,finite-group-proof,30,0,30,PASS,All 30 subgroups and their derived series.,loop-145
inv-v18-large-images,Every large-prime profile derives GL2.,finite-group-proof,9,0,9,PASS,Live rows from large_image_certificates_v18.,loop-376
inv-v20-kummer-laws,Every Kummer component law is associative and has inverses.,finite-group-scheme-law,3,0,3,PASS,Live rows from kummer_component_law_checks_v20.,loop-476
inv-v16-qexp-packets,Every q-expansion packet certificate is correctly certified or rejected.,finite-hecke-module,4,0,4,PASS,Live rows from qexp_eigenline_certificates_v16.,loop-288
inv-v15-fibers,Concrete fibers are certified or correctly rejected.,finite-homology,3,0,3,PASS,Rows from multiplicity_fiber_certificates_v15.,loop-265
inv-v7-map-compatibility,Every computed degeneracy map kills all source relations and preserves compact homology.,finite-homology,22,0,22,PASS,Live rows from degeneracy_map_certificates_v7.,loop-116
inv-v7-module-dimensions,Every Manin module has cuspidal dimension 2g(X0(N)).,finite-homology,33,0,33,PASS,Live rows from manin_module_certificates_v7.,loop-115
inv-v18-isogeny-degrees,Every cyclic 2p-isogeny profile is correctly routed.,finite-isogeny-ledger,14,0,14,PASS,Live rows from isogeny_degree_certificates_v18.,loop-363
inv-v19-isogeny-ledger,Every cyclic-isogeny degree ledger row is internally consistent.,finite-isogeny-ledger,34,0,34,PASS,Live rows from cyclic_isogeny_degree_ledger_v19.,loop-444
inv-v12-involution,Every involution splits into complementary plus/minus summands.,finite-linear-algebra,2,0,2,PASS,Live rows from involution_split_certificates_v12.,loop-188
inv-v13-trace-bases,Every stage has a unit rank-four trace-pairing basis.,finite-linear-algebra,8,0,8,PASS,Live rows from trace_basis_certificates_v13.,loop-216
inv-v14-basis,"All basis changes preserve representation laws, traces, and determinants.",finite-linear-algebra,24,0,24,PASS,Live rows from basis_change_invariance_v14.,loop-235
inv-v14-projectors,All ordinary projectors are rank-one idempotents with correct eigenspaces.,finite-linear-algebra,12,0,12,PASS,Live rows from ordinary_projector_certificates_v14.,loop-245
inv-v15-pairing,Pairings pass.,finite-linear-algebra,8,0,8,PASS,Rows from perfect_pairing_certificates_v15.,loop-269
inv-v15-projectors,Projectors pass.,finite-linear-algebra,8,0,8,PASS,Rows from sign_projector_certificates_v15.,loop-273
inv-v18-weight-packets,Every weight-two packet control behaves as designed.,finite-linear-algebra,2,0,2,PASS,Live rows from weight2_eigenpacket_projection_v18.,loop-385
inv-v4-eigenlift,All eigenclass lifting controls behave as designed.,finite-linear-algebra,3,0,3,PASS,Live rows from eigenclass_lift_controls.,loop-89
inv-v4-old-new,All old/new intersection controls match their expected dimensions.,finite-linear-algebra,3,0,3,PASS,Live rows from old_new_intersection_checks.,loop-88
inv-v4-specialization,All finite degeneracy-specialization controls hit their expected dimensions.,finite-linear-algebra,3,0,3,PASS,Live rows from degeneracy_specialization_checks.,loop-87
inv-v5-specialization-adapter,All finite specialization adapters satisfy their shape/pairing checks.,finite-linear-algebra,3,0,3,PASS,Live rows from degeneracy_specialization_adapters.,loop-98
inv-v7-relations,All Manin relation quotients have unique pivots and valid quotient dimensions.,finite-linear-algebra,33,0,33,PASS,Live rows from manin_relation_certificates_v7.,loop-114
inv-v8-packets,"Every packet has the expected full, plus, and minus dimensions.",finite-linear-algebra,4,0,4,PASS,Live rows from hecke_packet_certificates_v8.,loop-128
inv-v8-sign-split,Every conjugation certificate squares to one and splits homology evenly.,finite-linear-algebra,2,0,2,PASS,Live rows from conjugation_split_certificates_v8.,loop-125
v3-deg,deg,finite-linear-algebra,80,0,80,PASS,degeneracy_operator_cases,loop-69
v3-dims,dims,finite-linear-algebra,3,0,3,PASS,selmer_dimension_checks,loop-76
v3-kill,kill,finite-linear-algebra,4,0,4,PASS,dual_selmer_kill_runs,loop-77
v3-selmer,selmer,finite-linear-algebra,3,0,3,PASS,selmer_complexes,loop-75
inv-v14-steinberg,All Steinberg Weil–Deligne certificates pass.,finite-local-algebra,8,0,8,PASS,Live rows from steinberg_weil_deligne_certificates_v14.,loop-249
inv-v5-hensel-lifts,All simple-root eigenvalue lifts pass at every precision.,finite-local-algebra,16,0,16,PASS,Live rows from eigenpacket_hensel_lifts.,loop-101
inv-v10-artin-factors,Every concrete curve/form local trace matches modulo 3.,finite-local-arithmetic,44,0,44,PASS,curve_form_matches over the stored Frobenius universe.,loop-147
inv-v14-good-local,All good-prime local certificates pass.,finite-local-arithmetic,80,0,80,PASS,Live rows from good_prime_local_certificates_v14.,loop-243
inv-v19-local-factors,Every Artin/modular local factor calibration matches.,finite-local-factors,44,0,44,PASS,Live rows from artin_local_factor_certificates_v19.,loop-438
inv-v14-cohom-stages,All finite Hecke-cohomology action stages pass.,finite-module,8,0,8,PASS,Live rows from cohomology_action_stages_v14.,loop-234
inv-v6-ss-orbits,Supersingular Γ0(11) orbit enumeration yields four fixed-point-free orbits.,finite-moduli-enumeration,1,0,1,PASS,Live rows from supersingular_level_actions_v6.,loop-102
inv-v17-monodromy,Every monodromy comparison stage passes.,finite-monodromy,4,0,4,PASS,Live rows from monodromy_comparison_certificates_v17.,loop-336
inv-v10-tw-summary,Every witnessed Taylor–Wiles prime satisfies both finite conditions.,finite-prime-search,4,0,4,PASS,Aggregated Taylor–Wiles-prime rows.,loop-157
inv-v20-tw-runs,Every Taylor–Wiles finite calibration kills its dual Selmer coordinates.,finite-prime-selection,8,0,8,PASS,Live rows from tw_selection_runs_v20.,loop-490
inv-v16-good-certificates,Every good-reduction certificate has the expected conclusion.,finite-proof-certificate,4,0,4,PASS,Live rows from good_reduction_multiplicity_certificates_v16.,loop-294
inv-v7-ihara-55to11-p7,The exact homology map X0(55)→X0(11)^2 is surjective over F7.,finite-proof-certificate,1,0,1,PASS,Rank 4 against target dimension 4; matrix hash 0f6b3980190e9658828c32403c17bf1447dcb53e754487ae7aca93564b9d8e3a.,loop-117
inv-v8-homological-multiplicity-one,The level-55 mod-7 maximal-ideal packet has full dimension two and one dimension in each sign.,finite-proof-certificate,1,0,1,PASS,homological_multiplicity_certificates_v8 and the independent verifier.,loop-128
inv-v8-level11-validation,All level-11 Hecke operators act by the stored eta-product coefficients.,finite-proof-certificate,4,0,4,PASS,Live rows from hecke_validation_checks_v8.,loop-124
inv-v9-explicit-lift,The concrete characteristic-zero lift certificate closes the lifting edge.,finite-proof-certificate,1,0,1,PASS,Live rows from explicit_lift_certificates_v9.,loop-141
inv-v10-finite-rt,All finite curve/form trace R→T stages match.,finite-pseudocharacter,10,0,10,PASS,"p=3 and p=5, five precisions each.",loop-159
inv-v13-hecke-frobenius,Every stored Hecke Frobenius stage matches traces and cyclotomic determinants.,finite-pseudocharacter,10,0,10,PASS,Live rows from hecke_frobenius_pseudocharacter_stages_v13.,loop-222
inv-v13-pseudocharacters,Every pseudocharacter stage satisfies all trace and determinant identities.,finite-pseudocharacter,8,0,8,PASS,Live rows from pseudocharacter_stages_v13.,loop-215
inv-v20-tw-contracts,Every Taylor–Wiles finite quotient contract has full evaluation rank and split-distinct residual class.,finite-quotient-selection,4,0,4,PASS,Live rows from tw_selection_contracts_v20.,loop-486
inv-v18-x015-points,All eight rational points are enumerated and classified.,finite-rational-points,8,0,8,PASS,Live rows from x015_rational_points_v18.,loop-397
inv-v18-image-profiles,"Every mod-3 finite-image profile is solvable, irreducible, and oddness-compatible.",finite-representation-profile,3,0,3,PASS,Live rows from mod3_image_brauer_profiles_v18.,loop-354
